Collection name: Vector,number of operations: 10000,unit: ms
Add time, Find time, Remove time
0.047766,40.490572,29.665164
0.046976,41.166395,30.721532
0.046976,40.575445,37.257515
0.053687,39.917385,29.959652
0.047371,41.274163,41.702080
0.047371,39.903964,29.726351
0.058819,44.129042,43.207681
0.048950,39.807248,33.820371
0.046581,40.812298,40.863222
0.047765,40.486230,29.835303
0.047370,39.734613,29.384886
0.048555,44.059565,29.434626
0.048555,39.467758,29.307909
0.057635,40.049629,30.851801
0.046976,48.815987,29.467785
0.046976,39.697111,29.497392
0.047371,39.955677,35.353605
0.046976,40.943753,29.564501
0.050529,63.432242,52.468669
0.059608,57.067978,29.489892
0.046976,50.111183,38.482445
0.054081,40.620052,30.474020
0.048161,43.021751,37.932155
0.122374,39.936333,29.675822
0.047371,50.285665,29.518709
0.048950,41.580889,29.617003
0.106584,40.878617,29.939125
0.055266,45.906631,30.119134
0.046186,41.322719,45.138436
0.046186,55.360261,37.604112
0.048555,40.127791,32.377536
0.054871,41.773530,35.460979
0.046581,39.439730,29.412519
0.057240,40.091868,32.641628
0.050924,40.987966,31.158922
0.121979,39.745271,43.470983
0.046976,40.222532,37.582796
0.047371,41.027046,30.371383
0.046582,40.847432,46.724567
0.056055,41.385879,30.097027
0.082504,47.227092,29.726746
0.055660,39.534472,30.002680
0.048555,39.630397,30.601132
0.048161,42.738710,31.438015
0.055265,41.693001,31.122210
0.064346,39.600791,29.468180
0.050134,40.492940,33.784842
0.046581,39.778036,29.435810
0.046186,39.743692,31.478675
0.054871,48.073450,29.419230
0.059608,40.000679,30.261246
0.054476,40.127001,30.049262
0.046976,46.571007,29.563317
0.047765,47.555530,34.046172
0.048160,41.241398,31.542231
0.047765,41.949987,44.722756
0.056450,54.262838,29.842410
0.047371,41.090996,30.234008
0.047371,39.988837,30.596394
0.052503,40.349644,29.893728
0.056056,51.319138,30.807984
0.046976,39.798564,33.161917
0.047370,41.526413,29.842804
0.060398,64.501638,30.423885
0.046976,39.624870,29.582264
0.046976,74.162909,32.404379
0.047371,54.242705,32.823611
0.055661,52.107466,29.620951
0.048949,55.409605,32.308848
0.058424,40.596762,34.035118
0.057634,41.746292,36.733674
0.057634,39.686058,29.534104
0.048161,39.862909,31.335378
0.054871,39.541972,29.653716
0.048949,42.404351,37.117378
0.055266,60.705658,30.154662
0.048160,48.208456,29.388439
0.050529,40.595182,29.431468
0.057634,40.592814,44.555380
0.046186,41.199554,29.514367
0.047370,39.628423,34.379346
0.052108,39.755141,50.121052
0.054477,53.788735,53.005538
0.047371,39.725928,29.479628
0.047371,39.441309,29.306725
0.060003,40.120290,30.960755
0.046976,42.123680,30.104528
0.048161,41.085470,32.218449
0.048555,39.830934,33.034805
0.047766,46.994581,31.259190
0.054871,43.753235,42.535805
0.046581,42.932930,29.828987
0.060003,39.315381,33.230604
0.076583,43.742181,29.561343
0.048555,39.885805,42.872928
0.048161,46.208226,30.252561
0.056056,40.224506,37.911233
0.047371,39.663163,42.947931
0.066714,39.791853,33.205340
0.064345,42.356586,29.605555
0.047371,39.982125,29.812407
0.046976,39.280644,41.393380
0.089215,63.416058,29.394755
0.057634,39.954492,35.888105
0.050923,41.074811,29.725167
0.047370,49.046131,29.347779
0.048949,45.942949,30.357566
0.054476,39.625661,35.712833
0.142113,58.255405,30.073737
0.046976,68.231693,32.789267
0.055660,40.510310,35.342552
0.057239,39.675795,30.359540
0.046976,40.044497,29.668322
0.054476,40.697819,29.373044
0.046976,39.627239,29.546342
0.047765,40.160950,34.033539
0.046581,46.771543,29.651347
0.048950,53.067515,31.057470
0.084478,50.950831,38.870886
0.056450,41.482200,37.825176
0.047371,44.913819,30.022813
0.046581,39.468153,29.929255
0.103426,47.291832,29.806486
0.046186,41.574573,35.749941
0.058029,43.623755,30.271115
0.046976,39.430651,29.591739
0.053687,40.527679,32.818479
0.046581,46.038085,53.323317
0.054081,40.056734,30.681661
0.050923,44.778812,31.629077
0.047371,39.369858,29.627662
0.047765,39.905542,30.048867
0.047371,41.732871,29.959652
0.054871,40.545838,53.152782
0.056845,41.874983,29.828987
0.047766,57.663665,29.950573
0.047765,40.514257,35.454663
0.048160,40.925198,37.538188
0.047371,49.642213,29.313436
0.048555,55.141960,29.399492
0.047371,39.721586,36.272993
0.046581,44.684465,42.645153
0.048555,39.612239,29.573186
0.048555,39.603554,29.386466
0.047765,46.786543,32.119365
0.046976,40.335038,33.227051
0.063161,72.849949,30.939438
0.047765,39.999495,29.871621
0.046581,51.195579,30.707715
0.046187,40.499651,29.831751
0.047371,40.692687,29.907149
0.047371,39.604343,30.905883
0.047371,47.448550,32.186079
0.056451,42.608440,49.062315
0.047370,40.765322,52.750130
0.046976,39.551840,37.156063
0.057634,52.453668,30.219007
0.046976,46.054271,29.540026
0.065135,48.752431,30.305459
0.048160,41.141525,30.467703
0.057634,39.696716,41.415092
0.046976,55.229991,36.603010
0.054082,45.462925,33.430746
0.054872,39.328408,29.454759
0.047765,41.430881,29.793854
0.047371,40.079630,32.569782
0.056450,43.572831,29.769380
0.047765,39.599211,30.701794
0.047765,40.470834,35.802443
0.050134,55.317233,38.716536
0.048555,55.590009,29.390413
0.057240,39.532103,31.788954
0.048950,49.293642,35.321630
0.046581,39.984493,29.450416
0.050529,39.207218,31.143527
0.055265,39.617765,30.048078
0.050134,43.325318,30.162162
0.047766,40.163714,29.376597
0.047371,50.700949,31.002598
0.048555,39.517497,29.258564
0.046976,39.516313,29.834119
0.046976,40.568734,30.087553
0.048161,42.931746,39.658820
0.048160,39.446836,29.600819
0.048160,40.429780,51.907720
0.048161,55.355524,36.893155
0.056845,51.120576,29.538447
0.048555,49.144819,29.952151
0.076188,46.954710,29.636741
0.049344,41.271400,36.569850
0.047765,40.441227,38.177693
0.046582,42.655417,29.588581
0.052107,42.844505,29.688059
0.053687,42.586335,29.647005
0.058424,39.473284,29.502524
0.047765,40.239507,33.046648
0.047371,40.169635,29.665163
0.046977,39.797379,29.570027
0.048160,66.523975,40.592025
0.057240,39.673031,29.540815
0.055266,40.006995,29.554632
0.046976,40.230427,29.500156
0.056056,40.276219,49.868013
0.048555,48.089635,36.573008
0.046976,39.649346,29.498181
0.046581,39.969493,34.043408
0.047371,62.537329,31.902248
0.046976,40.759007,42.212105
