Collection name: Set,number of operations: 10000,unit: ms
Add time, Find time, Remove time
1.730612,0.023686,1.215455
2.909356,0.010659,1.135319
1.046895,0.011053,0.516341
1.311381,0.015791,1.102160
0.911887,0.011053,0.461075
0.891360,0.011053,0.449628
1.526129,0.010659,0.480814
1.528892,0.017369,0.776881
0.967548,0.031185,0.499762
0.888597,0.011054,0.449627
0.965179,0.011053,0.476866
0.987681,0.011448,0.725167
0.903203,0.011053,0.450417
0.881492,0.010264,0.504499
1.239141,0.023686,0.465418
0.873201,0.010658,0.470550
2.073262,0.011053,0.634768
0.897676,0.010658,0.491472
0.887412,0.011448,0.451207
0.893334,0.010658,0.877149
0.984523,0.010658,0.748064
1.555341,0.010658,0.557396
1.590475,0.024080,0.628847
0.935179,0.010659,0.764643
1.608238,0.011053,0.828199
0.973864,0.010264,0.508052
2.199188,0.011053,0.693193
0.937547,0.011053,0.566476
0.916624,0.010659,0.456339
1.289275,0.011448,0.597266
1.142820,0.063950,0.721615
1.991152,0.068292,0.673849
0.932810,0.010658,0.504104
1.117556,0.010658,0.491077
0.887808,0.010659,0.457917
0.874781,0.010658,0.461471
1.640213,0.010658,0.546738
1.422307,0.010658,0.460286
0.988865,0.011054,0.709377
0.904782,0.010658,0.457523
0.882676,0.010263,0.448443
1.751534,0.011053,1.026762
1.001498,0.010659,0.493841
0.903203,0.010659,0.459102
0.967943,0.010658,0.511209
0.956890,0.023290,0.518315
1.214666,0.010658,0.463049
0.948600,0.011053,0.496604
0.926888,0.011053,0.450812
0.884255,0.010658,0.453180
0.972680,0.011448,0.681349
0.909124,0.010659,0.457918
0.879122,0.010658,0.458707
0.902019,0.010658,0.884255
1.895621,0.023291,1.155058
1.105713,0.011053,0.708983
0.921757,0.011448,0.450022
0.887413,0.023291,0.834910
1.754298,0.011053,0.682139
0.903202,0.010659,0.451996
0.877939,0.011448,0.452391
0.873596,0.011053,0.863332
0.982549,0.011054,0.469365
0.873201,0.011053,0.449233
0.914256,0.011054,0.584634
2.617236,0.024081,0.705825
1.722718,0.011053,0.633979
0.932809,0.010659,0.455549
0.879123,0.011054,0.453180
0.906361,0.011054,0.843990
0.880307,0.010659,0.454365
0.901230,0.010264,0.469760
0.893334,0.011843,1.370200
1.029130,0.010659,0.474498
0.871622,0.010263,0.451602
0.958074,0.011053,0.755959
0.994392,0.010658,0.519895
1.777984,0.010659,0.555028
0.958864,0.010658,0.725168
0.947416,0.017370,1.017288
1.024393,0.011448,0.845963
0.884649,0.023290,0.451601
0.875175,0.010658,1.328750
1.159400,0.011053,0.531342
0.890571,0.011054,0.489498
1.082028,0.011053,0.516341
0.935573,0.023686,0.484761
0.936757,0.011053,0.457128
1.132952,0.011053,0.572792
1.629555,0.016185,0.881096
1.534024,0.024080,0.706614
3.344378,0.023685,1.033078
0.982154,0.055660,0.774512
1.134925,0.023290,1.189402
1.511522,0.011053,0.557791
0.918204,0.010659,0.563317
0.879123,0.010658,0.707404
1.897200,0.010658,0.476471
0.903203,0.010264,0.692403
2.466044,0.011053,0.497788
1.059132,0.010264,0.483971
1.013735,0.010658,0.460286
0.876360,0.010658,0.464233
0.875570,0.010658,0.455943
1.854566,0.024080,0.960837
1.639424,0.010658,0.478445
1.083212,0.011053,0.528185
0.920573,0.010658,0.488314
0.915046,0.011053,0.782408
0.909124,0.010263,0.455155
0.940705,0.023685,1.087159
1.104924,0.010659,0.585424
0.930836,0.011448,0.482393
0.882676,0.011053,0.830568
0.985707,0.010659,0.474498
0.966759,0.011053,0.454760
0.916625,0.010658,0.864517
1.077685,0.010659,0.473313
0.891361,0.010659,0.460286
0.939521,0.010658,0.460681
0.895703,0.010659,0.453970
0.900835,0.010264,0.718852
1.003471,0.010659,0.472918
0.880307,0.010658,0.462654
0.969127,0.024475,1.108871
0.995181,0.010659,0.738195
0.980575,0.010658,0.444496
1.200454,0.012632,0.487919
1.659557,0.010658,0.486340
0.896492,0.018948,0.686087
0.902414,0.010659,0.450417
0.980575,0.010659,0.479629
2.040102,0.016580,0.569239
0.882676,0.017369,0.450023
0.879517,0.010658,0.467392
0.964390,0.011053,0.691614
0.914256,0.010264,0.456339
0.914257,0.010659,0.449233
0.950574,0.010658,0.456733
1.546656,0.010264,0.516341
0.872412,0.010659,0.604767
0.920572,0.010659,0.454365
0.896886,0.010658,0.468971
1.085975,0.011053,0.611873
0.909914,0.010658,0.592529
1.461784,0.010659,0.769775
1.945755,0.010658,0.544764
0.885439,0.011053,0.454759
0.887807,0.011053,0.635163
0.884649,0.010263,0.481998
1.750350,0.026054,0.528184
1.179927,0.010658,0.492656
0.936363,0.010658,0.461470
0.880702,0.010659,0.641480
0.952547,0.014606,0.474497
1.563630,0.023291,0.816357
1.914174,0.019738,1.509549
1.265984,0.023685,0.768197
1.514286,0.023685,1.232035
1.196113,0.010658,0.469760
1.544682,0.011843,0.788329
1.091897,0.023685,1.327171
1.485074,0.019738,1.200455
1.572710,0.023291,0.715299
1.790616,0.027238,1.580605
1.692716,0.023291,1.262826
1.749560,0.010658,1.143610
2.582102,0.024080,1.134136
2.010889,0.017764,0.912677
1.290065,0.018948,0.919783
1.568762,0.010659,0.758328
1.359147,0.010658,1.625213
1.802853,0.019737,0.898071
1.632318,0.023291,1.052026
1.652451,0.023685,0.753985
1.547840,0.024080,1.100187
0.900439,0.010658,0.446075
0.880307,0.010659,0.510025
0.911888,0.010658,0.513184
1.790220,0.010658,0.474892
0.879912,0.010659,0.457523
1.776404,0.010659,0.503709
0.881492,0.010658,0.447259
2.138791,0.010658,0.575555
1.516654,0.010263,0.468576
0.926099,0.011053,0.455154
0.890571,0.011053,0.762669
0.929652,0.010658,0.447259
0.874385,0.011053,0.462654
0.915046,0.011053,0.516736
1.633107,0.010659,0.457128
0.894123,0.010658,0.716878
0.913466,0.011053,0.454760
0.871622,0.011053,0.472918
2.828825,0.010659,0.473313
0.894123,0.010658,0.453180
0.902808,0.010264,0.455549
0.880702,0.011448,0.950573
0.909124,0.010658,0.455154
1.530866,0.030002,0.488709
0.914257,0.010658,0.520684
1.739692,0.019738,0.534500
0.883071,0.011053,0.672665
0.891755,0.010658,0.452786
0.892150,0.011448,0.752011
2.059840,0.010659,0.667928
1.520997,0.010264,0.468576
0.876754,0.010658,0.453180
2.395777,0.011053,0.509236
0.885044,0.010659,0.450023
0.885439,0.011053,0.604767
0.971101,0.014212,0.479234
1.535998,0.010659,0.471734
0.906361,0.011053,0.449628
0.885044,0.011053,0.457918
0.872807,0.025660,0.449628
1.049658,0.011053,0.468576
0.896097,0.010659,0.454760
0.966758,0.011448,0.487129
0.894518,0.019737,0.496209
0.943863,0.010658,0.456733
0.874781,0.011054,0.671481
0.917414,0.011053,0.469366
